model,test_opponent,episodes,n_rounds,p_noise,observation_mode,history_length,mean_reward,std_reward,mean_reward_per_round,mean_cooperation_rate,mean_defection_rate
q_agent_vs_allc_seed1,allc,100,200,0.0,last_n,3,988.0,0.0,4.94,0.03,0.97
q_agent_vs_allc_seed1,alld,100,200,0.0,last_n,3,1.0,0.0,0.005,0.995,0.004999999999999999
q_agent_vs_allc_seed1,tft,100,200,0.0,last_n,3,514.0,0.0,2.57,0.6949999999999998,0.30500000000000005
q_agent_vs_allc_seed1,hard_tft,100,200,0.0,last_n,3,384.0,0.0,1.92,0.7849999999999998,0.215
q_agent_vs_allc_seed1,generous_tft,100,200,0.0,last_n,3,531.59,6.985835669409924,2.65795,0.6870499999999999,0.31295
q_agent_vs_allc_seed1,grudger,100,200,0.0,last_n,3,6.0,0.0,0.03,0.9899999999999999,0.009999999999999998
q_agent_vs_allc_seed1,soft_grudger,100,200,0.0,last_n,3,380.0,0.0,1.9,0.7849999999999998,0.215
q_agent_vs_allc_seed1,tftt,100,200,0.0,last_n,3,599.0,0.0,2.995,0.585,0.4149999999999999
q_agent_vs_allc_seed1,prober,100,200,0.0,last_n,3,7.0,0.0,0.035,0.995,0.004999999999999999
q_agent_vs_allc_seed1,joss,100,200,0.0,last_n,3,484.04,9.431776078766926,2.4202,0.7523500000000002,0.24764999999999998
q_agent_vs_allc_seed1,random,100,200,0.0,last_n,3,333.06,29.30420447649108,1.6653,0.89515,0.10484999999999997
q_agent_vs_allc_seed2,allc,100,200,0.0,last_n,3,986.0,0.0,4.93,0.03500000000000002,0.9650000000000002
q_agent_vs_allc_seed2,alld,100,200,0.0,last_n,3,1.0,0.0,0.005,0.995,0.004999999999999999
q_agent_vs_allc_seed2,tft,100,200,0.0,last_n,3,513.0,0.0,2.565,0.7000000000000002,0.3
q_agent_vs_allc_seed2,hard_tft,100,200,0.0,last_n,3,394.0,0.0,1.97,0.7750000000000005,0.22500000000000012
q_agent_vs_allc_seed2,generous_tft,100,200,0.0,last_n,3,531.48,8.016832292121373,2.6574,0.6872999999999998,0.3127
q_agent_vs_allc_seed2,grudger,100,200,0.0,last_n,3,5.0,0.0,0.025,0.995,0.004999999999999999
q_agent_vs_allc_seed2,soft_grudger,100,200,0.0,last_n,3,378.0,0.0,1.89,0.7800000000000001,0.22
q_agent_vs_allc_seed2,tftt,100,200,0.0,last_n,3,592.0,0.0,2.96,0.6100000000000001,0.39000000000000007
q_agent_vs_allc_seed2,prober,100,200,0.0,last_n,3,7.0,0.0,0.035,0.995,0.004999999999999999
q_agent_vs_allc_seed2,joss,100,200,0.0,last_n,3,484.26,9.354806251334123,2.4213,0.7506999999999999,0.2493
q_agent_vs_allc_seed2,random,100,200,0.0,last_n,3,326.84,28.776629406516673,1.6341999999999999,0.9010000000000001,0.099
q_agent_vs_allc_seed3,allc,100,200,0.0,last_n,3,986.0,0.0,4.93,0.03500000000000002,0.9650000000000002
q_agent_vs_allc_seed3,alld,100,200,0.0,last_n,3,1.0,0.0,0.005,0.995,0.004999999999999999
q_agent_vs_allc_seed3,tft,100,200,0.0,last_n,3,518.0,0.0,2.59,0.7099999999999997,0.29
q_agent_vs_allc_seed3,hard_tft,100,200,0.0,last_n,3,384.0,0.0,1.92,0.7849999999999998,0.215
q_agent_vs_allc_seed3,generous_tft,100,200,0.0,last_n,3,535.93,7.079908191495141,2.6796499999999996,0.6934499999999999,0.30654999999999993
q_agent_vs_allc_seed3,grudger,100,200,0.0,last_n,3,6.0,0.0,0.03,0.9899999999999999,0.009999999999999998
q_agent_vs_allc_seed3,soft_grudger,100,200,0.0,last_n,3,377.0,0.0,1.885,0.7950000000000002,0.20499999999999996
q_agent_vs_allc_seed3,tftt,100,200,0.0,last_n,3,608.0,0.0,3.04,0.585,0.4149999999999999
q_agent_vs_allc_seed3,prober,100,200,0.0,last_n,3,7.0,0.0,0.035,0.995,0.004999999999999999
q_agent_vs_allc_seed3,joss,100,200,0.0,last_n,3,484.21,9.452296017370594,2.4210499999999997,0.7565500000000001,0.24344999999999994
q_agent_vs_allc_seed3,random,100,200,0.0,last_n,3,330.43,29.23431374258681,1.65215,0.8936000000000002,0.10640000000000001
q_agent_vs_alld,allc,100,200,0.0,last_n,3,602.0,0.0,3.01,0.995,0.004999999999999999
q_agent_vs_alld,alld,100,200,0.0,last_n,3,200.0,0.0,1.0,0.0,1.0
q_agent_vs_alld,tft,100,200,0.0,last_n,3,599.0,0.0,2.995,0.995,0.004999999999999999
q_agent_vs_alld,hard_tft,100,200,0.0,last_n,3,586.0,0.0,2.93,0.9899999999999999,0.009999999999999998
q_agent_vs_alld,generous_tft,100,200,0.0,last_n,3,599.27,0.858545281275251,2.99635,0.995,0.004999999999999999
q_agent_vs_alld,grudger,100,200,0.0,last_n,3,201.0,0.0,1.005,0.015,0.9849999999999999
q_agent_vs_alld,soft_grudger,100,200,0.0,last_n,3,593.0,0.0,2.965,0.9849999999999999,0.015
q_agent_vs_alld,tftt,100,200,0.0,last_n,3,602.0,0.0,3.01,0.995,0.004999999999999999
q_agent_vs_alld,prober,100,200,0.0,last_n,3,600.0,0.0,3.0,0.9899999999999999,0.009999999999999998
q_agent_vs_alld,joss,100,200,0.0,last_n,3,531.24,40.81938755052555,2.6562,0.9727000000000001,0.02729999999999999
q_agent_vs_alld,random,100,200,0.0,last_n,3,335.8,14.745168700289598,1.679,0.8738500000000002,0.12615
q_agent_vs_alld_seed1,allc,100,200,0.0,last_n,3,602.0,0.0,3.01,0.995,0.004999999999999999
q_agent_vs_alld_seed1,alld,100,200,0.0,last_n,3,200.0,0.0,1.0,0.0,1.0
q_agent_vs_alld_seed1,tft,100,200,0.0,last_n,3,599.0,0.0,2.995,0.995,0.004999999999999999
q_agent_vs_alld_seed1,hard_tft,100,200,0.0,last_n,3,362.0,0.0,1.81,0.8299999999999998,0.17000000000000004
q_agent_vs_alld_seed1,generous_tft,100,200,0.0,last_n,3,599.21,0.7654410493303844,2.9960500000000003,0.995,0.004999999999999999
q_agent_vs_alld_seed1,grudger,100,200,0.0,last_n,3,201.0,0.0,1.005,0.015,0.9849999999999999
q_agent_vs_alld_seed1,soft_grudger,100,200,0.0,last_n,3,593.0,0.0,2.965,0.9849999999999999,0.015
q_agent_vs_alld_seed1,tftt,100,200,0.0,last_n,3,602.0,0.0,3.01,0.995,0.004999999999999999
q_agent_vs_alld_seed1,prober,100,200,0.0,last_n,3,600.0,0.0,3.0,0.9899999999999999,0.009999999999999998
q_agent_vs_alld_seed1,joss,100,200,0.0,last_n,3,535.17,41.81005979426482,2.6758499999999996,0.9760499999999999,0.023949999999999996
q_agent_vs_alld_seed1,random,100,200,0.0,last_n,3,338.84,14.343444495657241,1.6942,0.8739999999999999,0.126
q_agent_vs_alld_seed2,allc,100,200,0.0,last_n,3,602.0,0.0,3.01,0.995,0.004999999999999999
q_agent_vs_alld_seed2,alld,100,200,0.0,last_n,3,200.0,0.0,1.0,0.0,1.0
q_agent_vs_alld_seed2,tft,100,200,0.0,last_n,3,599.0,0.0,2.995,0.995,0.004999999999999999
q_agent_vs_alld_seed2,hard_tft,100,200,0.0,last_n,3,250.0,0.0,1.25,0.75,0.25
q_agent_vs_alld_seed2,generous_tft,100,200,0.0,last_n,3,599.15,0.6538348415311012,2.9957499999999997,0.995,0.004999999999999999
q_agent_vs_alld_seed2,grudger,100,200,0.0,last_n,3,201.0,0.0,1.005,0.015,0.9849999999999999
q_agent_vs_alld_seed2,soft_grudger,100,200,0.0,last_n,3,593.0,0.0,2.965,0.9849999999999999,0.015
q_agent_vs_alld_seed2,tftt,100,200,0.0,last_n,3,602.0,0.0,3.01,0.995,0.004999999999999999
q_agent_vs_alld_seed2,prober,100,200,0.0,last_n,3,600.0,0.0,3.0,0.9899999999999999,0.009999999999999998
q_agent_vs_alld_seed2,joss,100,200,0.0,last_n,3,537.88,26.289267772229795,2.6894,0.9875,0.012499999999999997
q_agent_vs_alld_seed2,random,100,200,0.0,last_n,3,337.63,14.154614088699134,1.68815,0.8701000000000001,0.12990000000000002
q_agent_vs_alld_seed3,allc,100,200,0.0,last_n,3,602.0,0.0,3.01,0.995,0.004999999999999999
q_agent_vs_alld_seed3,alld,100,200,0.0,last_n,3,200.0,0.0,1.0,0.0,1.0
q_agent_vs_alld_seed3,tft,100,200,0.0,last_n,3,599.0,0.0,2.995,0.995,0.004999999999999999
q_agent_vs_alld_seed3,hard_tft,100,200,0.0,last_n,3,425.0,0.0,2.125,0.875,0.125
q_agent_vs_alld_seed3,generous_tft,100,200,0.0,last_n,3,599.33,0.938669270829721,2.9966500000000003,0.995,0.004999999999999999
q_agent_vs_alld_seed3,grudger,100,200,0.0,last_n,3,201.0,0.0,1.005,0.015,0.9849999999999999
q_agent_vs_alld_seed3,soft_grudger,100,200,0.0,last_n,3,593.0,0.0,2.965,0.9849999999999999,0.015
q_agent_vs_alld_seed3,tftt,100,200,0.0,last_n,3,602.0,0.0,3.01,0.995,0.004999999999999999
q_agent_vs_alld_seed3,prober,100,200,0.0,last_n,3,600.0,0.0,3.0,0.9899999999999999,0.009999999999999998
q_agent_vs_alld_seed3,joss,100,200,0.0,last_n,3,535.71,27.350793407139033,2.67855,0.98375,0.016249999999999997
q_agent_vs_alld_seed3,random,100,200,0.0,last_n,3,338.63,15.055666707256774,1.69315,0.87355,0.12645
q_agent_vs_generous_tft_seed1,allc,100,200,0.0,last_n,3,764.0,0.0,3.82,0.5900000000000001,0.4099999999999999
q_agent_vs_generous_tft_seed1,alld,100,200,0.0,last_n,3,0.0,0.0,0.0,1.0,0.0
q_agent_vs_generous_tft_seed1,tft,100,200,0.0,last_n,3,518.0,0.0,2.59,0.6500000000000001,0.3500000000000001
q_agent_vs_generous_tft_seed1,hard_tft,100,200,0.0,last_n,3,342.0,0.0,1.71,0.7249999999999995,0.2749999999999999
