training_population,training_p_noise,eval_p_noise,mean_reward
exploitative,0.0,0.0,446.90128205128207
exploitative,0.0,0.05,423.98743589743583
exploitative,0.0,0.1,424.4866666666667
exploitative,0.0,0.2,436.9271794871795
exploitative,0.05,0.0,397.6574358974359
exploitative,0.05,0.05,394.15999999999997
exploitative,0.05,0.1,398.4287179487179
exploitative,0.05,0.2,423.81410256410254
exploitative,0.1,0.0,383.5541025641026
exploitative,0.1,0.05,388.9887179487179
exploitative,0.1,0.1,396.3476923076923
exploitative,0.1,0.2,419.3466666666667
exploitative,0.2,0.0,358.27846153846156
exploitative,0.2,0.05,390.6123076923077
exploitative,0.2,0.1,400.9071794871795
exploitative,0.2,0.2,419.03999999999996
mixed,0.0,0.0,422.92512820512826
mixed,0.0,0.05,409.1123076923077
mixed,0.0,0.1,417.9825641025641
mixed,0.0,0.2,435.0138461538462
mixed,0.05,0.0,392.0976923076923
mixed,0.05,0.05,397.9697435897436
mixed,0.05,0.1,406.29487179487177
mixed,0.05,0.2,426.3738461538462
mixed,0.1,0.0,368.0125641025641
mixed,0.1,0.05,382.77153846153846
mixed,0.1,0.1,394.7197435897436
mixed,0.1,0.2,421.6569230769231
mixed,0.2,0.0,367.26794871794874
mixed,0.2,0.05,385.50384615384615
mixed,0.2,0.1,400.1038461538461
mixed,0.2,0.2,420.8517948717949
reciprocal,0.0,0.0,423.55871794871797
reciprocal,0.0,0.05,418.36333333333334
reciprocal,0.0,0.1,423.42051282051284
reciprocal,0.0,0.2,433.8007692307692
reciprocal,0.05,0.0,388.5907692307692
reciprocal,0.05,0.05,410.76076923076926
reciprocal,0.05,0.1,415.46794871794873
reciprocal,0.05,0.2,430.8094871794872
reciprocal,0.1,0.0,378.90846153846155
reciprocal,0.1,0.05,396.5079487179487
reciprocal,0.1,0.1,407.7020512820513
reciprocal,0.1,0.2,425.0028205128205
reciprocal,0.2,0.0,343.92128205128205
reciprocal,0.2,0.05,378.7074358974359
reciprocal,0.2,0.1,398.3646153846154
reciprocal,0.2,0.2,417.02846153846156
