model,training_population,training_p_noise,test_opponent,episodes,n_rounds,p_noise,observation_mode,history_length,mean_reward,std_reward,mean_reward_per_round,mean_cooperation_rate,mean_defection_rate
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,tft,100,200,0.0,last_n,3,489.0,0.0,2.445,0.5700000000000001,0.43
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,mist,100,200,0.0,last_n,3,481.0,0.0,2.405,0.5600000000000003,0.44
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,tftt,100,200,0.0,last_n,3,624.0,0.0,3.12,0.585,0.4149999999999999
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,hard_tft,100,200,0.0,last_n,3,160.0,0.0,0.8,0.26,0.7399999999999999
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,generous_tft,100,200,0.0,last_n,3,505.95,10.74930230294041,2.52975,0.5422,0.4578
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,alld,100,200,0.0,last_n,3,154.0,0.0,0.77,0.23000000000000004,0.7699999999999997
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,soft_majo,100,200,0.0,last_n,3,178.0,0.0,0.89,0.24,0.7600000000000001
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,hard_majo,100,200,0.0,last_n,3,154.0,0.0,0.77,0.23000000000000004,0.7699999999999997
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,joss,100,200,0.0,last_n,3,436.8,18.58978213965941,2.184,0.53005,0.46995
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,soft_joss,100,200,0.0,last_n,3,460.11,13.040624985022763,2.30055,0.54765,0.45235
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,prober,100,200,0.0,last_n,3,492.0,0.0,2.46,0.5649999999999997,0.435
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,prober_3,100,200,0.0,last_n,3,488.0,0.0,2.44,0.5649999999999997,0.435
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,hard_prober,100,200,0.0,last_n,3,489.0,0.0,2.445,0.5600000000000003,0.44
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,tft,100,200,0.05,last_n,3,460.21,14.972838742202496,2.30105,0.50635,0.49365000000000003
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,mist,100,200,0.05,last_n,3,454.51,16.57618472387419,2.27255,0.4983000000000001,0.5017
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,tftt,100,200,0.05,last_n,3,626.61,15.677305253135819,3.13305,0.6056,0.3944
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,hard_tft,100,200,0.05,last_n,3,202.47,15.446329661120146,1.01235,0.31834999999999997,0.6816499999999999
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,generous_tft,100,200,0.05,last_n,3,488.12,17.31258501784179,2.4406,0.51215,0.48784999999999995
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,alld,100,200,0.05,last_n,3,177.9,10.123734488813898,0.8895000000000001,0.2729,0.7271000000000001
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,soft_majo,100,200,0.05,last_n,3,417.62,249.07251072729804,2.0881,0.4504000000000001,0.5496
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,hard_majo,100,200,0.05,last_n,3,239.35,166.16084827660214,1.19675,0.32025,0.6797500000000001
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,joss,100,200,0.05,last_n,3,424.48,17.078337155589825,2.1224000000000003,0.4907,0.5093
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,soft_joss,100,200,0.05,last_n,3,440.64,17.49143790544391,2.2032,0.49795,0.50205
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,prober,100,200,0.05,last_n,3,447.12,62.47451960599618,2.2356,0.48895000000000005,0.51105
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,prober_3,100,200,0.05,last_n,3,441.1,67.74459388024995,2.2055000000000002,0.48674999999999996,0.51325
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,hard_prober,100,200,0.05,last_n,3,446.33,61.81974684516267,2.23165,0.4865,0.5135
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,tft,100,200,0.1,last_n,3,451.58,18.72761597214125,2.2579,0.4818,0.5182
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,mist,100,200,0.1,last_n,3,447.08,20.272977087739235,2.2354,0.47669999999999996,0.5233000000000001
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,tftt,100,200,0.1,last_n,3,602.13,16.336251099931097,3.01065,0.6131,0.38689999999999997
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,hard_tft,100,200,0.1,last_n,3,241.21,19.406851882775836,1.20605,0.3682500000000001,0.6317499999999999
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,generous_tft,100,200,0.1,last_n,3,480.25,19.078980580733344,2.40125,0.5058,0.4942
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,alld,100,200,0.1,last_n,3,202.12,14.16635450636472,1.0106,0.32289999999999996,0.6770999999999998
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,soft_majo,100,200,0.1,last_n,3,485.6,222.0144589885983,2.428,0.5378499999999999,0.46215000000000006
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,hard_majo,100,200,0.1,last_n,3,291.35,179.24622032277279,1.4567500000000002,0.3874499999999999,0.61255
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,joss,100,200,0.1,last_n,3,422.02,20.653803523806456,2.1101,0.47989999999999994,0.5201
q_agent_population_exploitative_pnoise0p05_seed1,exploitative,0.05,soft_joss,100,200,0.1,last_n,3,437.25,17.427779548754913,2.18625,0.48185,0.51815
