training_opponent,training_history_length,tftt,hard_tft,cycler_ddc,cycler_ccd,hard_majo,soft_majo
tftt,1,787.3333333333334,166.66666666666666,319.3333333333333,551.6666666666666,728.6666666666666,775.6666666666666
tftt,3,747.0,350.3333333333333,199.0,427.3333333333333,770.6666666666666,781.0
hard_tft,1,254.66666666666666,224.33333333333334,440.0,654.3333333333334,319.0,327.0
hard_tft,3,647.0,238.0,221.33333333333334,418.6666666666667,702.3333333333334,705.3333333333334
cycler_ddc,1,726.6666666666666,129.33333333333334,463.6666666666667,404.0,122.66666666666667,130.66666666666666
cycler_ddc,3,602.0,593.0,459.3333333333333,404.0,584.3333333333334,599.0
cycler_ccd,1,683.6666666666666,142.0,199.0,736.0,633.0,637.0
cycler_ccd,3,597.3333333333334,591.0,199.0,728.0,593.3333333333334,594.0
hard_majo,1,418.3333333333333,195.33333333333334,410.3333333333333,649.0,475.0,486.0
hard_majo,3,350.6666666666667,225.33333333333334,207.33333333333334,413.6666666666667,493.3333333333333,728.0
soft_majo,1,456.0,187.0,410.3333333333333,640.0,493.0,496.0
soft_majo,3,349.3333333333333,205.66666666666666,207.66666666666666,413.3333333333333,695.6666666666666,423.6666666666667
