model,training_population,training_p_noise,training_opponent,training_history_length,training_memory_label,seed,test_opponent,episodes,n_rounds,p_noise,observation_mode,history_length,mean_reward,std_reward,mean_reward_per_round,mean_cooperation_rate,mean_defection_rate
q_agent_partial_obs_vs_cycler_ccd_last1_seed1,,0.0,cycler_ccd,1,last1,1,tftt,100,200,0.0,last_n,1,684.0,0.0,3.42,0.5300000000000002,0.4699999999999998
q_agent_partial_obs_vs_cycler_ccd_last1_seed1,,0.0,cycler_ccd,1,last1,1,hard_tft,100,200,0.0,last_n,1,129.0,0.0,0.645,0.66,0.3400000000000001
q_agent_partial_obs_vs_cycler_ccd_last1_seed1,,0.0,cycler_ccd,1,last1,1,cycler_ddc,100,200,0.0,last_n,1,199.0,0.0,0.995,0.995,0.004999999999999999
q_agent_partial_obs_vs_cycler_ccd_last1_seed1,,0.0,cycler_ccd,1,last1,1,cycler_ccd,100,200,0.0,last_n,1,736.0,0.0,3.68,0.0,1.0
q_agent_partial_obs_vs_cycler_ccd_last1_seed1,,0.0,cycler_ccd,1,last1,1,hard_majo,100,200,0.0,last_n,1,612.0,0.0,3.06,0.5050000000000001,0.49499999999999994
q_agent_partial_obs_vs_cycler_ccd_last1_seed1,,0.0,cycler_ccd,1,last1,1,soft_majo,100,200,0.0,last_n,1,614.0,0.0,3.07,0.5,0.5
q_agent_partial_obs_vs_cycler_ccd_last1_seed2,,0.0,cycler_ccd,1,last1,2,tftt,100,200,0.0,last_n,1,685.0,0.0,3.425,0.52,0.48
q_agent_partial_obs_vs_cycler_ccd_last1_seed2,,0.0,cycler_ccd,1,last1,2,hard_tft,100,200,0.0,last_n,1,118.0,0.0,0.59,0.66,0.3400000000000001
q_agent_partial_obs_vs_cycler_ccd_last1_seed2,,0.0,cycler_ccd,1,last1,2,cycler_ddc,100,200,0.0,last_n,1,199.0,0.0,0.995,0.995,0.004999999999999999
q_agent_partial_obs_vs_cycler_ccd_last1_seed2,,0.0,cycler_ccd,1,last1,2,cycler_ccd,100,200,0.0,last_n,1,736.0,0.0,3.68,0.0,1.0
q_agent_partial_obs_vs_cycler_ccd_last1_seed2,,0.0,cycler_ccd,1,last1,2,hard_majo,100,200,0.0,last_n,1,571.0,0.0,2.855,0.5050000000000001,0.49499999999999994
q_agent_partial_obs_vs_cycler_ccd_last1_seed2,,0.0,cycler_ccd,1,last1,2,soft_majo,100,200,0.0,last_n,1,570.0,0.0,2.85,0.5,0.5
q_agent_partial_obs_vs_cycler_ccd_last1_seed3,,0.0,cycler_ccd,1,last1,3,tftt,100,200,0.0,last_n,1,682.0,0.0,3.41,0.5349999999999999,0.4650000000000001
q_agent_partial_obs_vs_cycler_ccd_last1_seed3,,0.0,cycler_ccd,1,last1,3,hard_tft,100,200,0.0,last_n,1,179.0,0.0,0.895,0.66,0.3400000000000001
q_agent_partial_obs_vs_cycler_ccd_last1_seed3,,0.0,cycler_ccd,1,last1,3,cycler_ddc,100,200,0.0,last_n,1,199.0,0.0,0.995,0.995,0.004999999999999999
q_agent_partial_obs_vs_cycler_ccd_last1_seed3,,0.0,cycler_ccd,1,last1,3,cycler_ccd,100,200,0.0,last_n,1,736.0,0.0,3.68,0.0,1.0
q_agent_partial_obs_vs_cycler_ccd_last1_seed3,,0.0,cycler_ccd,1,last1,3,hard_majo,100,200,0.0,last_n,1,716.0,0.0,3.58,0.5050000000000001,0.49499999999999994
q_agent_partial_obs_vs_cycler_ccd_last1_seed3,,0.0,cycler_ccd,1,last1,3,soft_majo,100,200,0.0,last_n,1,727.0,0.0,3.635,0.5,0.5
q_agent_partial_obs_vs_cycler_ccd_last3_seed1,,0.0,cycler_ccd,3,last3,1,tftt,100,200,0.0,last_n,3,597.0,0.0,2.985,0.9800000000000004,0.019999999999999997
q_agent_partial_obs_vs_cycler_ccd_last3_seed1,,0.0,cycler_ccd,3,last3,1,hard_tft,100,200,0.0,last_n,3,591.0,0.0,2.955,0.9899999999999999,0.009999999999999998
q_agent_partial_obs_vs_cycler_ccd_last3_seed1,,0.0,cycler_ccd,3,last3,1,cycler_ddc,100,200,0.0,last_n,3,199.0,0.0,0.995,0.995,0.004999999999999999
