model,training_opponent,hyperparameter_config,learning_rate_start,learning_rate_end,learning_rate_schedule,final_learning_rate,discount_factor,initial_epsilon,epsilon_decay,epsilon_min,final_epsilon,observation_mode,history_length,history_flags_enabled,model_variant,seed,test_opponent,episodes,n_rounds,p_noise,evaluation_epsilon,mean_reward,std_reward,mean_reward_per_round,cooperation_rate,defection_rate,first_defection_rate,average_round_of_first_defection,payoff_percent_of_max,q_c_minus_d_initial_state,q_c_minus_d_after_first_agent_defection
q_agent_exp5bis_standard_vs_grudger_baseline_seed1,grudger,baseline,0.1,0.1,constant,0.1,0.95,1.0,0.995,0.05,0.05,last_n,3,False,baseline,1,hard_tft,100,100,0.0,0.0,195.0,0.0,1.95,0.8499999999999995,0.15,1.0,14.0,64.56953642384106,16.128592124010673,-18.46256973018172
q_agent_exp5bis_standard_vs_grudger_baseline_seed1,grudger,baseline,0.1,0.1,constant,0.1,0.95,1.0,0.995,0.05,0.05,last_n,3,False,baseline,1,grudger,100,100,0.0,0.0,127.0,0.0,1.27,0.15999999999999998,0.8400000000000002,1.0,14.0,42.05298013245033,16.128592124010673,-18.46256973018172
q_agent_exp5bis_standard_vs_grudger_baseline_seed2,grudger,baseline,0.1,0.1,constant,0.1,0.95,1.0,0.995,0.05,0.05,last_n,3,False,baseline,2,hard_tft,100,100,0.0,0.0,265.0,0.0,2.65,0.95,0.04999999999999999,1.0,32.0,87.74834437086092,28.315224416381163,-17.859991319557206
q_agent_exp5bis_standard_vs_grudger_baseline_seed2,grudger,baseline,0.1,0.1,constant,0.1,0.95,1.0,0.995,0.05,0.05,last_n,3,False,baseline,2,grudger,100,100,0.0,0.0,163.0,0.0,1.63,0.3400000000000001,0.66,1.0,32.0,53.973509933774835,28.315224416381163,-17.859991319557206
q_agent_exp5bis_standard_vs_grudger_baseline_seed3,grudger,baseline,0.1,0.1,constant,0.1,0.95,1.0,0.995,0.05,0.05,last_n,3,False,baseline,3,hard_tft,100,100,0.0,0.0,120.0,0.0,1.2,0.07999999999999999,0.9200000000000002,1.0,9.0,39.735099337748345,12.116864473593687,-17.61651336472562
q_agent_exp5bis_standard_vs_grudger_baseline_seed3,grudger,baseline,0.1,0.1,constant,0.1,0.95,1.0,0.995,0.05,0.05,last_n,3,False,baseline,3,grudger,100,100,0.0,0.0,120.0,0.0,1.2,0.07999999999999999,0.9200000000000002,1.0,9.0,39.735099337748345,12.116864473593687,-17.61651336472562
q_agent_exp5bis_standard_vs_grudger_gamma_0999_lr_05_to_001_eps_09_to_001_seed1,grudger,gamma_0999_lr_05_to_001_eps_09_to_001,0.5,0.01,inverse_time,0.010000000000000002,0.999,0.9,0.9997750235773885,0.01,0.01,last_n,3,False,gamma_0999_lr_05_to_001_eps_09_to_001,1,hard_tft,100,100,0.0,0.0,110.0,0.0,1.1,0.03,0.97,1.0,4.0,36.42384105960265,6.082449880717633,-28.103790151563757
q_agent_exp5bis_standard_vs_grudger_gamma_0999_lr_05_to_001_eps_09_to_001_seed1,grudger,gamma_0999_lr_05_to_001_eps_09_to_001,0.5,0.01,inverse_time,0.010000000000000002,0.999,0.9,0.9997750235773885,0.01,0.01,last_n,3,False,gamma_0999_lr_05_to_001_eps_09_to_001,1,grudger,100,100,0.0,0.0,110.0,0.0,1.1,0.03,0.97,1.0,4.0,36.42384105960265,6.082449880717633,-28.103790151563757
q_agent_exp5bis_standard_vs_grudger_gamma_0999_lr_05_to_001_eps_09_to_001_seed2,grudger,gamma_0999_lr_05_to_001_eps_09_to_001,0.5,0.01,inverse_time,0.010000000000000002,0.999,0.9,0.9997750235773885,0.01,0.01,last_n,3,False,gamma_0999_lr_05_to_001_eps_09_to_001,2,hard_tft,100,100,0.0,0.0,107.0,0.0,1.07,0.03,0.97,1.0,3.0,35.43046357615894,4.0061532115929595,-28.64889394593122
q_agent_exp5bis_standard_vs_grudger_gamma_0999_lr_05_to_001_eps_09_to_001_seed2,grudger,gamma_0999_lr_05_to_001_eps_09_to_001,0.5,0.01,inverse_time,0.010000000000000002,0.999,0.9,0.9997750235773885,0.01,0.01,last_n,3,False,gamma_0999_lr_05_to_001_eps_09_to_001,2,grudger,100,100,0.0,0.0,107.0,0.0,1.07,0.03,0.97,1.0,3.0,35.43046357615894,4.0061532115929595,-28.64889394593122
