participant,participant_type,opponent,opponent_type,episodes,n_rounds,mean_reward,cooperation_rate
strategy::allc,classical,strategy::allc,classical,20,200,600.0,1.0
strategy::allc,classical,strategy::alld,classical,20,200,0.0,1.0
strategy::allc,classical,strategy::tft,classical,20,200,600.0,1.0
strategy::allc,classical,strategy::mist,classical,20,200,597.0,1.0
strategy::allc,classical,strategy::tftt,classical,20,200,600.0,1.0
strategy::allc,classical,strategy::hard_tft,classical,20,200,600.0,1.0
strategy::allc,classical,strategy::generous_tft,classical,20,200,600.0,1.0
strategy::allc,classical,strategy::grudger,classical,20,200,600.0,1.0
strategy::allc,classical,strategy::soft_grudger,classical,20,200,600.0,1.0
strategy::allc,classical,strategy::soft_majo,classical,20,200,600.0,1.0
strategy::allc,classical,strategy::hard_majo,classical,20,200,597.0,1.0
strategy::allc,classical,strategy::joss,classical,20,200,536.25,1.0
strategy::allc,classical,strategy::prober,classical,20,200,6.0,1.0
strategy::allc,classical,strategy::prober_3,classical,20,200,3.0,1.0
strategy::allc,classical,strategy::hard_prober,classical,20,200,6.0,1.0
strategy::allc,classical,strategy::cycler_ccd,classical,20,200,402.0,1.0
strategy::allc,classical,strategy::cycler_ddc,classical,20,200,198.0,1.0
strategy::alld,classical,strategy::allc,classical,20,200,1000.0,0.0
strategy::alld,classical,strategy::alld,classical,20,200,200.0,0.0
strategy::alld,classical,strategy::tft,classical,20,200,204.0,0.0
strategy::alld,classical,strategy::mist,classical,20,200,200.0,0.0
strategy::alld,classical,strategy::tftt,classical,20,200,208.0,0.0
strategy::alld,classical,strategy::hard_tft,classical,20,200,204.0,0.0
strategy::alld,classical,strategy::generous_tft,classical,20,200,282.8,0.0
strategy::alld,classical,strategy::grudger,classical,20,200,204.0,0.0
strategy::alld,classical,strategy::soft_grudger,classical,20,200,468.0,0.0
strategy::alld,classical,strategy::soft_majo,classical,20,200,204.0,0.0
strategy::alld,classical,strategy::hard_majo,classical,20,200,200.0,0.0
strategy::alld,classical,strategy::joss,classical,20,200,204.0,0.0
strategy::alld,classical,strategy::prober,classical,20,200,208.0,0.0
strategy::alld,classical,strategy::prober_3,classical,20,200,204.0,0.0
strategy::alld,classical,strategy::hard_prober,classical,20,200,208.0,0.0
strategy::alld,classical,strategy::cycler_ccd,classical,20,200,736.0,0.0
strategy::alld,classical,strategy::cycler_ddc,classical,20,200,464.0,0.0
strategy::tft,classical,strategy::allc,classical,20,200,600.0,1.0
strategy::tft,classical,strategy::alld,classical,20,200,199.0,0.005000000000000001
strategy::tft,classical,strategy::tft,classical,20,200,600.0,1.0
strategy::tft,classical,strategy::mist,classical,20,200,500.0,0.5
strategy::tft,classical,strategy::tftt,classical,20,200,600.0,1.0
strategy::tft,classical,strategy::hard_tft,classical,20,200,600.0,1.0
strategy::tft,classical,strategy::generous_tft,classical,20,200,600.0,1.0
strategy::tft,classical,strategy::grudger,classical,20,200,600.0,1.0
strategy::tft,classical,strategy::soft_grudger,classical,20,200,600.0,1.0
strategy::tft,classical,strategy::soft_majo,classical,20,200,600.0,1.0
strategy::tft,classical,strategy::hard_majo,classical,20,200,500.0,0.5
strategy::tft,classical,strategy::joss,classical,20,200,240.8,0.09374999999999999
strategy::tft,classical,strategy::prober,classical,20,200,599.0,0.9950000000000001
strategy::tft,classical,strategy::prober_3,classical,20,200,500.0,0.5
strategy::tft,classical,strategy::hard_prober,classical,20,200,597.0,0.9899999999999997
strategy::tft,classical,strategy::cycler_ccd,classical,20,200,534.0,0.67
strategy::tft,classical,strategy::cycler_ddc,classical,20,200,397.0,0.335
strategy::mist,classical,strategy::allc,classical,20,200,602.0,0.9950000000000001
strategy::mist,classical,strategy::alld,classical,20,200,200.0,0.0
strategy::mist,classical,strategy::tft,classical,20,200,500.0,0.5
strategy::mist,classical,strategy::mist,classical,20,200,200.0,0.0
strategy::mist,classical,strategy::tftt,classical,20,200,602.0,0.9950000000000001
strategy::mist,classical,strategy::hard_tft,classical,20,200,203.0,0.005000000000000001
strategy::mist,classical,strategy::generous_tft,classical,20,200,595.55,0.96275
strategy::mist,classical,strategy::grudger,classical,20,200,203.0,0.005000000000000001
strategy::mist,classical,strategy::soft_grudger,classical,20,200,595.0,0.9750000000000002
strategy::mist,classical,strategy::soft_majo,classical,20,200,500.0,0.5
strategy::mist,classical,strategy::hard_majo,classical,20,200,200.0,0.0
strategy::mist,classical,strategy::joss,classical,20,200,232.7,0.054500000000000014
strategy::mist,classical,strategy::prober,classical,20,200,600.0,0.9899999999999997
strategy::mist,classical,strategy::prober_3,classical,20,200,501.0,0.49499999999999983
strategy::mist,classical,strategy::hard_prober,classical,20,200,598.0,0.985
strategy::mist,classical,strategy::cycler_ccd,classical,20,200,536.0,0.6649999999999998
strategy::mist,classical,strategy::cycler_ddc,classical,20,200,398.0,0.33
strategy::tftt,classical,strategy::allc,classical,20,200,600.0,1.0
strategy::tftt,classical,strategy::alld,classical,20,200,198.0,0.010000000000000002
strategy::tftt,classical,strategy::tft,classical,20,200,600.0,1.0
strategy::tftt,classical,strategy::mist,classical,20,200,597.0,1.0
strategy::tftt,classical,strategy::tftt,classical,20,200,600.0,1.0
strategy::tftt,classical,strategy::hard_tft,classical,20,200,600.0,1.0
strategy::tftt,classical,strategy::generous_tft,classical,20,200,600.0,1.0
strategy::tftt,classical,strategy::grudger,classical,20,200,600.0,1.0
strategy::tftt,classical,strategy::soft_grudger,classical,20,200,600.0,1.0
strategy::tftt,classical,strategy::soft_majo,classical,20,200,600.0,1.0
strategy::tftt,classical,strategy::hard_majo,classical,20,200,597.0,1.0
strategy::tftt,classical,strategy::joss,classical,20,200,485.1,0.82975
strategy::tftt,classical,strategy::prober,classical,20,200,201.0,0.025000000000000005
strategy::tftt,classical,strategy::prober_3,classical,20,200,199.0,0.020000000000000004
strategy::tftt,classical,strategy::hard_prober,classical,20,200,596.0,0.9950000000000001
strategy::tftt,classical,strategy::cycler_ccd,classical,20,200,402.0,1.0
strategy::tftt,classical,strategy::cycler_ddc,classical,20,200,330.0,0.67
strategy::hard_tft,classical,strategy::allc,classical,20,200,600.0,1.0
strategy::hard_tft,classical,strategy::alld,classical,20,200,199.0,0.005000000000000001
strategy::hard_tft,classical,strategy::tft,classical,20,200,600.0,1.0
strategy::hard_tft,classical,strategy::mist,classical,20,200,203.0,0.005000000000000001
strategy::hard_tft,classical,strategy::tftt,classical,20,200,600.0,1.0
strategy::hard_tft,classical,strategy::hard_tft,classical,20,200,600.0,1.0
strategy::hard_tft,classical,strategy::generous_tft,classical,20,200,600.0,1.0
strategy::hard_tft,classical,strategy::grudger,classical,20,200,600.0,1.0
